plot,block.no,sequence.id,abiotic,wood.perc.n,wood.perc.c,wood.c.to.n,wood.perc.moist,w,n,perc.denloss,soil.moisture,soil.sir,wood.sir,soil.moist,wood.sir,wood.sir.perwet,wood.sir.perdry,wood.sir.scale.sqrt,soil.n,soil.c,soil.cn,wn,soil.temp,soil.ph,richness,evenness,frequency.rank,prop.p2,e.prop.p2
19,35,NA,c,0.3222222222,51.8,160.7586206897,0.5826133909,0,0,0.4834283342,7.5555555556,0.7986817529,1.0927420546,55.1,1.0927420546,0.4630262943,71.4063742198,0.3809125058,1.25,27.35,22.6,0,15.1,4.76,NA,NA,NA,NA,NA
19,36,NA,c,0.3,46.5,155,0.2510315234,0,0,0.2697306732,8,0.0928865549,0.2657123537,21.78,0.2657123537,0.1968239657,25.9947092897,0.1988408976,1.25,27.35,22.6,0,15.5,4.76,NA,NA,NA,NA,NA
19,37,Wood3,c,0.3,49.5,165,0.4035087719,0,0,0.4493290635,9,0.1759928313,1.6866091651,43.71,1.6866091651,1.0099456078,122.3052033447,0.5132305025,1.25,27.35,22.6,0,15.9,4.76,99,0.971754519,125.5656565657,0.4821428571,0.8965517241
20,38,NA,c,0.3222222222,47.7,148.0344827586,0.2620993762,0,0,0.3183536227,10.4444444444,1.1400215053,1.5072533263,53.49,1.5072533263,1.1001849097,115.6691296483,0.4979763064,1.75,40.75,23.5,0,15.45,3.9,NA,NA,NA,NA,NA
20,39,NA,c,0.2,48.1,240.5,0.2254476397,0,0,0.098071493,16.3333333333,0.1671104923,0.1920631106,54.61,0.1920631106,0.1455023565,25.3164763862,0.1948363203,1.75,40.75,23.5,0,15.45,3.9,NA,NA,NA,NA,NA
20,40,Wood14,c,0.5,50.2,100.4,0.232057215,0,0,0.2420032882,13.7777777778,0.1889017997,0.4297582368,51.98,0.4297582368,0.3255744218,43.9368589235,0.2850318066,1.75,40.75,23.5,0,15.45,3.9,NA,NA,NA,NA,NA
15,41,NA,wn,0.5,46.5,93,0.639855152,1,1,0.4381896295,8.4444444444,1.0354386046,1.8225563261,55.39,1.8225563261,0.6555958007,136.8298651448,0.5451304758,0.9,18.8,21.9,1,20.6,4.12,NA,NA,NA,NA,NA
4,42,Wood43,wn,0.5,46.5,93,0.5386998945,1,1,0.2528309822,7.5555555556,0.1370517843,1.6563740602,37.7,1.6563740602,0.7704065396,157.8142250928,0.5881701246,1.5,36.55,24.2,1,21.8,3.83,67,0.9765096954,137.1343283582,0.75,1
4,43,NA,wn,0.2,46.7,233.5,0.4158820614,1,1,0.2681518665,10.4444444444,0.146990849,1.0976759691,43.98,1.0976759691,0.6272434109,120.8609642759,0.5099495107,1.5,36.55,24.2,1,20.1,3.83,NA,NA,NA,NA,NA
6,44,Wood38,n,0.2,46.8,234,0.3452125376,0,1,0.3374773073,7.7777777778,1.6326629479,1.0421241424,51.56,1.0421241424,0.6767039885,110.1276656874,0.4848707127,1.85,42.1,23.1,0,15.75,4.1,94,0.9714316792,127.5425531915,0.5531914894,0.7428571429
